parking_id,station,total_slots,parking_fee_per_hour
1,1,32,40.00
2,2,134,15.00
3,3,366,40.00
4,5,236,10.00
5,6,131,15.00
6,7,33,30.00
7,8,352,40.00
8,9,132,25.00
9,10,434,50.00
10,11,432,15.00
11,12,194,20.00
12,13,410,20.00
13,14,214,10.00
14,15,196,30.00
15,16,42,40.00
16,17,83,25.00
17,18,170,50.00
18,19,473,50.00
19,20,118,40.00
20,21,358,15.00
21,22,60,50.00
22,23,71,25.00
23,24,345,50.00
24,25,209,20.00
25,26,156,40.00
26,28,331,40.00
27,29,393,15.00
28,30,214,20.00
29,32,305,15.00
30,33,451,50.00
31,34,137,50.00
32,35,181,25.00
33,36,128,30.00
34,38,355,25.00
35,39,488,40.00
36,40,155,15.00
37,41,307,30.00
38,42,319,25.00
39,44,132,15.00
40,45,66,50.00
41,46,76,15.00
42,47,425,40.00
43,48,52,25.00
44,49,259,30.00
45,50,303,50.00
46,52,78,40.00
47,54,413,40.00
48,55,170,25.00
49,56,21,40.00
50,58,276,50.00
51,59,487,10.00
52,61,347,30.00
53,62,98,20.00
54,63,296,50.00
55,66,270,10.00
56,67,205,50.00
57,68,142,10.00
58,69,310,10.00
59,70,268,50.00
60,71,409,30.00
61,72,85,40.00
62,73,301,15.00
63,74,466,30.00
64,75,128,30.00
65,76,373,15.00
66,77,224,40.00
67,78,244,30.00
68,79,146,15.00
69,80,30,30.00
70,81,321,15.00
71,82,382,40.00
72,83,54,10.00
73,85,141,20.00
74,86,129,30.00
75,87,498,30.00
76,88,144,50.00
77,89,228,15.00
78,90,357,25.00
79,91,230,25.00
80,93,354,40.00
81,94,226,40.00
82,95,461,10.00
83,96,117,30.00
84,97,236,15.00
85,98,147,50.00
86,100,461,50.00
87,101,45,40.00
88,103,67,50.00
89,104,105,25.00
90,105,129,50.00
91,106,50,15.00
92,107,219,20.00
93,109,166,25.00
94,110,394,50.00
95,111,387,25.00
96,112,171,15.00
97,114,297,10.00
98,115,49,10.00
99,116,277,50.00
100,117,49,30.00
101,118,115,10.00
102,119,365,50.00
103,120,81,30.00
104,121,324,10.00
105,122,234,40.00
106,123,287,20.00
107,125,386,20.00
108,126,222,15.00
109,127,173,25.00
110,128,404,10.00
111,129,338,30.00
112,131,129,30.00
113,132,497,20.00
114,135,100,25.00
115,136,380,20.00
116,137,433,40.00
117,138,361,50.00
118,139,497,40.00
119,140,469,15.00
120,141,475,10.00
121,142,99,20.00
122,143,127,40.00
123,144,371,40.00
124,146,148,50.00
125,147,344,25.00
126,148,42,10.00
127,149,86,40.00
128,151,246,30.00
129,152,307,10.00
130,153,472,40.00
131,155,447,20.00
132,156,95,25.00
133,157,177,20.00
134,159,460,10.00
135,161,147,40.00
136,162,419,30.00
137,164,337,40.00
138,165,496,15.00
139,168,471,25.00
140,169,397,20.00
141,170,230,50.00
142,171,396,50.00
143,172,101,50.00
144,173,215,50.00
145,174,260,15.00
146,175,490,25.00
147,176,440,50.00
148,178,357,15.00
149,179,162,50.00
150,180,415,20.00
151,181,280,25.00
152,182,451,30.00
153,183,34,10.00
154,185,317,20.00
155,186,325,25.00
156,187,422,20.00
157,188,281,10.00
158,189,315,15.00
159,190,382,25.00
160,191,493,50.00
161,192,388,40.00
162,193,120,20.00
163,194,360,20.00
164,195,359,50.00
165,196,480,20.00
166,197,361,25.00
167,198,376,20.00
168,199,118,25.00
169,200,214,40.00
170,201,109,30.00
171,202,227,30.00
172,203,175,20.00
173,204,422,30.00
174,205,184,25.00
175,206,365,15.00
176,207,426,50.00
177,208,357,10.00
178,209,359,40.00
179,210,67,50.00
180,212,178,15.00
181,213,95,10.00
182,214,263,30.00
183,215,57,25.00
184,216,342,30.00
185,217,376,25.00
186,218,144,15.00
187,219,22,50.00
188,222,132,15.00
189,223,376,30.00
190,224,305,15.00
191,226,88,50.00
192,227,291,30.00
193,228,406,25.00
194,229,388,30.00
195,230,484,30.00
196,231,101,40.00
197,233,404,15.00
198,234,161,50.00
199,235,268,40.00
200,236,245,10.00
201,237,140,20.00
202,238,477,30.00
203,239,97,15.00
204,240,98,40.00
205,241,232,25.00
206,242,258,25.00
207,243,446,25.00
208,244,414,30.00
209,246,470,50.00
210,247,264,10.00
211,249,219,50.00
212,251,295,40.00
213,252,429,30.00
214,254,159,25.00